,date,Yeezy,Off-White,Year,Week Number
0,2017-09-03,24,53,2017,35
1,2017-09-10,22,0,2017,36
2,2017-09-17,20,0,2017,37
3,2017-09-24,21,51,2017,38
4,2017-10-01,30,25,2017,39
5,2017-10-08,24,37,2017,40
6,2017-10-15,23,37,2017,41
7,2017-10-22,22,0,2017,42
8,2017-10-29,21,0,2017,43
9,2017-11-05,24,25,2017,44
10,2017-11-12,58,37,2017,45
11,2017-11-19,88,40,2017,46
12,2017-11-26,65,25,2017,47
13,2017-12-03,58,50,2017,48
14,2017-12-10,84,25,2017,49
15,2017-12-17,41,52,2017,50
16,2017-12-24,34,58,2017,51
17,2017-12-31,32,0,2017,52
18,2018-01-07,32,62,2018,1
19,2018-01-14,25,38,2018,2
20,2018-01-21,25,49,2018,3
21,2018-01-28,32,24,2018,4
22,2018-02-04,22,36,2018,5
23,2018-02-11,26,0,2018,6
24,2018-02-18,20,37,2018,7
25,2018-02-25,20,36,2018,8
26,2018-03-04,41,0,2018,9
27,2018-03-11,33,49,2018,10
28,2018-03-18,25,25,2018,11
29,2018-03-25,22,79,2018,12
30,2018-04-01,20,25,2018,13
31,2018-04-08,29,25,2018,14
32,2018-04-15,28,25,2018,15
33,2018-04-22,33,63,2018,16
34,2018-04-29,25,25,2018,17
35,2018-05-06,22,100,2018,18
36,2018-05-13,21,63,2018,19
37,2018-05-20,21,26,2018,20
38,2018-05-27,24,27,2018,21
39,2018-06-03,26,52,2018,22
40,2018-06-10,25,38,2018,23
41,2018-06-17,29,26,2018,24
42,2018-06-24,46,26,2018,25
43,2018-07-01,43,27,2018,26
44,2018-07-08,33,26,2018,27
45,2018-07-15,24,53,2018,28
46,2018-07-22,22,53,2018,29
47,2018-07-29,19,40,2018,30
48,2018-08-05,19,53,2018,31
49,2018-08-12,16,0,2018,32
50,2018-08-19,17,52,2018,33
51,2018-08-26,16,25,2018,34
52,2018-09-02,26,38,2018,35
53,2018-09-09,38,25,2018,36
54,2018-09-16,87,37,2018,37
55,2018-09-23,46,50,2018,38
56,2018-09-30,32,49,2018,39
57,2018-10-07,29,76,2018,40
58,2018-10-14,28,0,2018,41
59,2018-10-21,33,51,2018,42
60,2018-10-28,40,51,2018,43
61,2018-11-04,35,24,2018,44
62,2018-11-11,59,38,2018,45
63,2018-11-18,76,79,2018,46
64,2018-11-25,61,24,2018,47
65,2018-12-02,46,50,2018,48
66,2018-12-09,55,88,2018,49
67,2018-12-16,41,51,2018,50
68,2018-12-23,100,45,2018,51
69,2018-12-30,42,44,2018,52
70,2019-01-06,43,27,2019,1
71,2019-01-13,31,38,2019,2
72,2019-01-20,30,37,2019,3
73,2019-01-27,22,25,2019,4
74,2019-02-03,22,25,2019,5
75,2019-02-10,25,37,2019,6
76,2019-02-17,33,49,2019,7
